8A3,8C2,8E2,8F2,8H2,8I2,8K2,8L2,8M2,8N2,8Q2,8R2,8S2,8T2,8V2,8W2,8Y2
-4527.351762,-4157.065791,-4866.514295,-4068.694669,-4256.926887,-4494.027317,-4787.875943,-4149.608349,-4219.481934,-4525.280172,-4687.086962,-4762.369297,-4495.099204,-4512.44906,-4244.785034,-4007.884958,-4309.391475
-4436.395561,-3840.041278,-4776.037799,-4284.399648,-4597.292865,-4461.102052,-4797.887996,-4558.324526,-4695.791415,-4706.108759,-4551.657015,-4996.900967,-4433.74726,-4740.652033,-4217.983334,-4247.750568,-4442.853928
-4640.223037,-4056.891331,-5056.334135,-4423.696,-4521.274251,-4390.198545,-4791.841111,-4438.320962,-4596.888858,-4758.107919,-4526.808919,-5079.22056,-4821.985792,-4362.522609,-4542.363168,-4220.251133,-4401.670847
-4582.558417,-3910.479382,-5246.791227,-4384.338578,-4552.781756,-4676.567743,-4877.581553,-4248.732231,-4573.239645,-4518.2674,-4805.405171,-5046.026729,-4887.241124,-4730.483073,-4247.499413,-4242.878293,-4441.989025
-4889.466505,-3835.04856,-4905.863543,-4552.118145,-4516.273438,-4493.701531,-4809.159184,-4432.291717,-4709.480253,-4651.38312,-4731.369514,-5076.443653,-4774.00074,-4671.388365,-4527.838238,-4309.559461,-4389.856212
-4496.328936,-4031.883704,-5163.238866,-4471.729805,-4400.246628,-4625.743871,-4793.27569,-4589.197781,-4604.933727,-4283.013216,-4635.471887,-5141.647395,-4585.096014,-4591.404725,-4438.722081,-4201.994517,-4621.52478
-4769.58682,-3868.658761,-5155.461043,-4546.438813,-4273.077539,-4575.66333,-4892.07193,-4550.516304,-4524.412179,-4417.131324,-4748.261731,-5199.586185,-4747.35342,-4594.049254,-4579.052766,-4266.313694,-4320.962412
-4545.801104,-3833.932172,-5036.658926,-4468.192703,-4527.537599,-4489.120125,-4963.704891,-4583.028343,-4459.617335,-4535.092152,-4610.373555,-4814.445491,-4764.435402,-4646.046272,-4447.04027,-4186.163845,-4369.300723
-4316.876563,-3876.60748,-5041.203782,-4446.07617,-4405.587751,-4560.079208,-4807.822482,-4546.579178,-4377.558111,-4544.157486,-4574.999086,-5076.251314,-4616.394737,-4800.863714,-4505.055812,-4121.938773,-4570.399535
-4568.505455,-3834.729551,-5296.874225,-4559.364274,-4314.843951,-4218.549861,-5185.9995,-4476.433062,-4162.333253,-4474.788139,-4521.633841,-4875.790558,-4706.406038,-4700.9875,-4455.920918,-4099.023623,-4486.208853
-4479.21469,-3973.912685,-5101.11477,-4707.336674,-4344.887438,-4519.505454,-4924.786262,-4518.042652,-4444.728722,-4609.678036,-4629.535038,-5098.399035,-4664.283016,-4587.84393,-4364.100171,-4328.711019,-4603.43552
-4394.074858,-3953.009839,-5069.228612,-4702.457693,-4371.457209,-4461.563035,-5099.646017,-4560.50135,-4630.362715,-4515.335825,-4563.228544,-5009.333266,-4682.022556,-4414.246503,-4607.792964,-4274.888462,-4437.430119
-4578.877721,-3944.562456,-4941.405831,-4602.55988,-4328.009867,-4470.668713,-4855.881601,-4757.275032,-4449.685031,-4514.193962,-4642.736452,-4983.221696,-4693.963044,-4536.666328,-4450.216467,-4495.601798,-4724.711751
-4360.291809,-3820.335426,-4907.66705,-4670.205819,-4481.59523,-4616.608945,-4650.050523,-4628.272958,-4621.438083,-4733.417941,-4538.962886,-5083.694315,-4515.338938,-4710.071383,-4506.866521,-4384.922224,-4610.412514
-4483.622928,-3998.737425,-5069.400877,-4570.240346,-4581.500966,-4568.914107,-4904.29055,-4670.904735,-4425.412057,-4686.809067,-4707.576067,-5058.406889,-4694.472281,-4837.318227,-4306.794743,-4545.544248,-4538.373549
-4611.090057,-3827.226444,-4930.978166,-4410.359461,-4653.743074,-4659.456693,-4827.086487,-4603.427619,-4415.693123,-4738.927788,-4566.950897,-4902.566715,-4491.258295,-4686.498332,-4459.84886,-4333.659252,-4421.452138
-4287.435211,-3834.636607,-5036.158634,-4506.286541,-4379.527987,-4513.505877,-4869.833914,-4473.013078,-4547.043039,-4511.286909,-4580.300863,-5103.005116,-4376.490518,-4541.676221,-4420.711685,-4311.999518,-4420.745518
-4665.659603,-3972.35471,-5015.335849,-4612.527093,-4556.797325,-4487.122143,-4965.390394,-4343.923959,-4471.405115,-4669.593504,-4560.210691,-5235.57288,-4270.207253,-4635.920014,-4368.386896,-4528.564957,-4541.616757
-4479.802119,-3929.782512,-5197.363124,-4409.120443,-4674.052877,-4363.642602,-4953.813881,-4652.946377,-4580.842378,-4683.531686,-4653.789952,-4933.946878,-4586.74631,-4728.920882,-4523.13914,-4347.581726,-4686.611081
-4469.662761,-4138.296466,-5193.198698,-4495.48661,-4385.219189,-4579.734558,-4725.809398,-4489.365751,-4550.413851,-4548.290652,-4628.471375,-4886.06687,-4642.467255,-4738.941493,-4422.2821,-4298.083546,-4639.494799
-4696.196971,-4027.310381,-4830.6543,-4541.413971,-4572.951936,-4384.444891,-5068.47504,-4233.630507,-4190.518401,-4781.105354,-4788.507259,-5106.739774,-4414.341662,-4673.11029,-4180.993912,-4239.583251,-4556.619793
-4759.087212,-3841.029008,-5063.416261,-4491.641114,-4457.572101,-4422.515487,-4886.23713,-4371.319973,-4448.584772,-4651.709185,-4499.385938,-5198.879476,-4490.556175,-4750.646231,-4356.0138,-4446.593115,-4630.893666
-4546.902482,-4097.624794,-5201.604754,-4478.936568,-4446.870474,-4283.73965,-4864.98593,-4302.715502,-4454.492697,-4648.459835,-4627.95275,-5063.321206,-4511.528393,-4580.310781,-4504.684226,-4512.503488,-4612.332735
-4692.946018,-3921.679878,-4965.485503,-4534.942241,-4608.750665,-4452.46081,-4750.781049,-4325.303636,-4313.383917,-4713.022059,-4728.833062,-4917.234366,-4535.272121,-4739.106071,-4488.770723,-4582.888345,-4718.339592
-4366.417973,-3772.44043,-5091.33173,-4488.230751,-4461.367674,-4347.365122,-4832.264566,-4517.664781,-4482.814466,-4517.051,-4732.116977,-5076.931374,-4732.323864,-4690.096645,-4452.90361,-4481.360678,-4406.875777
-4297.146548,-3895.116435,-5063.757474,-4682.783738,-4550.482571,-4281.519492,-4834.504832,-4571.442969,-4337.144323,-4673.388385,-4492.215444,-5064.711073,-4585.710739,-4568.703047,-4443.749699,-4544.726822,-4758.02595
-4556.472381,-4027.300368,-5046.483006,-4466.402857,-4631.297434,-4413.995712,-4816.224956,-4458.021299,-4597.345428,-4643.604149,-4531.034086,-5109.802345,-4694.844772,-4540.77388,-4380.64673,-4530.277089,-4702.873466
-4401.015289,-3942.353402,-5063.224231,-4608.937346,-4482.000626,-4339.409538,-4955.705026,-4524.401444,-4459.38614,-4745.169672,-4558.021701,-5002.250705,-4450.518426,-4653.976398,-4340.687777,-4622.945897,-4593.555108
-4631.83703,-4015.937968,-4902.78733,-4480.101196,-4349.323935,-4395.317983,-4792.462987,-4568.114003,-4305.248311,-4725.967449,-4528.259099,-5267.955454,-4441.270286,-4351.983716,-4351.850968,-4734.95431,-4701.063948
-4620.330065,-3888.450152,-5001.868564,-4582.317644,-4508.282141,-4234.337184,-4922.147294,-4478.016622,-4576.048138,-4689.672891,-4699.02531,-5037.754476,-4406.882756,-4510.07441,-4517.679905,-4682.768681,-4839.29255
-4609.984847,-3980.57642,-4961.797827,-4532.219309,-4531.990511,-4283.464188,-5121.474658,-4340.32041,-4664.004681,-4759.878191,-4550.271596,-4892.253093,-4503.140316,-4711.752115,-4473.260253,-4304.29082,-4906.388555
-4580.980012,-3799.453556,-5079.384463,-4657.897451,-4669.980565,-4278.482698,-5094.499902,-4506.185113,-4497.646207,-4638.290621,-4575.364664,-4960.315131,-4400.184976,-4644.387664,-4685.652869,-4721.535974,-4708.106585
-4690.35617,-4012.802235,-5309.594528,-4612.330881,-4646.171243,-4451.438697,-4866.481865,-4504.707475,-4406.696238,-4550.232183,-4538.553839,-4780.296028,-4406.475491,-4343.315883,-4457.042209,-4299.341291,-4766.557198
-4666.521281,-3844.948315,-5115.878511,-4520.846858,-4425.086022,-4510.85864,-4837.386858,-4439.158946,-4494.784672,-4604.315088,-4677.885847,-4961.86655,-4355.890232,-4641.04496,-4564.409406,-4519.571001,-4729.002794
-4712.285479,-3925.206823,-4956.730804,-4544.168562,-4395.641491,-4516.345619,-4911.374839,-4398.302103,-4591.316081,-4365.146445,-4648.501271,-4952.614593,-4395.596966,-4666.612726,-4574.449091,-4374.659999,-4613.702758
